Id,DISTRICT,STATE-todel,ASSAULT ON WOMEN,DACOITY,DOWRY DEATHS,KIDNAPPING AND ABDUCTION,MAJOR_CRIMES_TOTAL,MURDER,RAPE,RIOTS,ROBBERY,THEFT,total_crime,YEAR
1,Ariyalur,Tamil nadu,64,0,1,26,233,27,20,19,9,76,1977,2010
2,Chennai,Tamil nadu,45,2,16,47,1858,103,47,60,74,1540,10869,2010
3,Chennai rly,Tamil nadu,2,1,2,0,250,0,0,14,58,232,647,2010
4,Chennai city,Tamil nadu,61,1,18,30,1059,86,29,85,102,750,8670,2010
5,Coimbatore,Tamil nadu,39,11,1,62,664,41,13,83,78,425,4806,2010
6,Coimbatore City,Tamil nadu,35,1,1,22,1202,22,15,23,25,1084,4180,2010
7,Cuddalore,Tamil nadu,8,1,8,39,530,58,27,149,16,241,6179,2010
8,Dharmapuri,Tamil nadu,42,2,6,47,437,59,15,107,25,161,3761,2010
9,Dindigul,Tamil nadu,43,4,1,43,644,57,9,81,29,410,5299,2010
10,Erode,Tamil nadu,43,3,2,64,681,57,15,39,73,461,6702,2010
11,Kanchipuram,Tamil nadu,23,2,1,9,494,57,17,102,21,285,5757,2010
12,Kanyakumari,Tamil nadu,10,3,2,57,441,42,12,0,90,318,4752,2010
13,Karur,Tamil nadu,28,1,4,54,379,19,10,23,34,241,2974,2010
14,Krishnagiri,Tamil nadu,27,0,5,64,515,58,20,120,14,221,4580,2010
15,Madurai,Tamil nadu,62,2,14,58,726,59,17,168,95,348,5348,2010
16,Madurai City,Tamil nadu,12,0,11,15,592,34,3,17,77,500,2672,2010
17,Nagapattinam,Tamil nadu,57,0,1,38,367,50,9,39,18,173,4027,2010
18,Namakkal,Tamil nadu,52,6,2,48,487,50,10,70,14,255,4690,2010
19,Nilgiris,Tamil nadu,10,0,0,8,115,11,7,18,9,61,1320,2010
20,Perambalur,Tamil nadu,16,2,0,10,144,13,5,7,25,93,1536,2010
21,Pudukottai,Tamil nadu,42,3,5,54,448,45,7,45,55,250,4808,2010
22,Ramnathapuram,Tamil nadu,14,1,1,61,402,33,16,96,26,181,3462,2010
23,Salem,Tamil nadu,165,9,4,140,945,81,53,281,42,221,8634,2010
24,Salem City,Tamil nadu,25,1,3,44,473,27,21,32,70,321,3218,2010
25,Sivagangai,Tamil nadu,16,3,4,32,310,38,1,21,21,198,2611,2010
26,Thanjavur,Tamil nadu,75,4,3,42,1183,82,7,104,141,870,6946,2010
27,Theni,Tamil nadu,61,0,5,93,609,42,18,69,53,321,5384,2010
28,Thirunelveli,Tamil nadu,88,2,3,65,736,83,48,4,77,445,7777,2010
29,Thirunelveli City,Tamil nadu,5,1,0,11,313,12,16,0,26,269,1630,2010
30,Thiruvallur,Tamil nadu,10,2,6,17,305,43,18,68,6,143,3487,2010
31,Thiruvannamalai,Tamil nadu,8,3,0,55,579,43,15,195,7,263,4562,2010
32,Thiruvarur,Tamil nadu,20,1,0,22,325,29,12,53,20,189,3976,2010
33,Thoothukudi,Tamil nadu,4,1,3,32,491,84,32,0,63,336,4954,2010
34,Tiruppur,Tamil nadu,24,7,6,52,991,60,10,39,126,800,5238,2010
35,Trichy rly,Tamil nadu,0,0,1,0,75,0,0,0,16,74,195,2010
36,Trichy,Tamil nadu,26,1,5,24,352,58,8,46,45,185,4525,2010
37,Trichy City,Tamil nadu,10,0,6,27,507,15,4,12,12,433,3741,2010
38,Vellore,Tamil nadu,28,1,8,68,877,82,30,5,33,656,8249,2010
39,Villupuram,Tamil nadu,80,0,4,82,868,63,50,302,19,287,6690,2010
40,Virudhunagar,Tamil nadu,25,3,2,58,491,52,20,68,73,266,4845,2010
41,Ariyalur,Tamil nadu,47,0,1,19,247,28,16,42,9,94,1953,2011
42,Chennai,Tamil nadu,73,3,20,56,3419,168,76,160,219,2866,21346,2011
43,Chennai rly,Tamil nadu,6,1,1,1,234,6,0,4,26,216,515,2011
44,Coimbatore,Tamil nadu,43,4,1,48,616,39,5,78,112,402,4590,2011
45,Coimbatore City,Tamil nadu,32,0,2,27,950,26,9,30,48,824,4030,2011
46,Cuddalore,Tamil nadu,12,2,16,102,802,68,30,229,40,345,9215,2011
47,Dharmapuri,Tamil nadu,44,6,0,70,435,55,14,95,34,157,3574,2011
48,Dindigul,Tamil nadu,45,1,3,50,530,65,18,93,52,256,5426,2011
49,Erode,Tamil nadu,35,2,1,42,566,47,10,22,63,409,6198,2011
50,Kanchipuram,Tamil nadu,25,1,1,22,564,87,19,135,22,275,6269,2011
51,Kanyakumari,Tamil nadu,7,2,3,50,383,44,10,1,114,268,5199,2011
52,Karur,Tamil nadu,21,0,1,60,319,28,8,18,39,183,2574,2011
53,Krishnagiri,Tamil nadu,32,3,7,64,623,72,12,146,48,290,4506,2011
54,Madurai,Tamil nadu,68,18,12,94,804,71,21,183,156,355,6165,2011
55,Madurai City,Tamil nadu,22,1,5,25,574,35,7,25,85,455,2873,2011
56,Nagapattinam,Tamil nadu,40,0,5,34,360,44,13,60,25,164,4153,2011
57,Namakkal,Tamil nadu,58,3,1,63,394,38,8,53,29,173,4526,2011
58,Nilgiris,Tamil nadu,8,0,0,7,113,17,6,10,14,65,1324,2011
59,Perambalur,Tamil nadu,18,0,1,25,154,14,7,11,32,78,1518,2011
